NUM_LAYERS: 2, DROPOUT: 0.2, WEIGHT_DECAY: 0.001, HIDDEN_SIZE: 128, LR: 0.0001
tensor(1.1637, grad_fn=<NllLossBackward0>)
tensor(0.9014, grad_fn=<NllLossBackward0>)
tensor(0.9790, grad_fn=<NllLossBackward0>)
tensor(1.1584, grad_fn=<NllLossBackward0>)
tensor(0.9372, grad_fn=<NllLossBackward0>)
tensor(1.2147, grad_fn=<NllLossBackward0>)
tensor(1.3289, grad_fn=<NllLossBackward0>)
tensor(0.9025, grad_fn=<NllLossBackward0>)
tensor(0.9300, grad_fn=<NllLossBackward0>)
tensor(0.8438, grad_fn=<NllLossBackward0>)
tensor(0.9665, grad_fn=<NllLossBackward0>)
tensor(0.8647, grad_fn=<NllLossBackward0>)
tensor(1.0857, grad_fn=<NllLossBackward0>)
tensor(0.9550, grad_fn=<NllLossBackward0>)
tensor(1.4403, grad_fn=<NllLossBackward0>)
tensor(1.5505, grad_fn=<NllLossBackward0>)
tensor(1.5203, grad_fn=<NllLossBackward0>)
tensor(0.8659, grad_fn=<NllLossBackward0>)
tensor(1.2349, grad_fn=<NllLossBackward0>)
tensor(0.9755, grad_fn=<NllLossBackward0>)
tensor(1.5475, grad_fn=<NllLossBackward0>)
tensor(0.8904, grad_fn=<NllLossBackward0>)
tensor(0.8893, grad_fn=<NllLossBackward0>)
tensor(1.2086, grad_fn=<NllLossBackward0>)
tensor(1.0447, grad_fn=<NllLossBackward0>)
tensor(1.4900, grad_fn=<NllLossBackward0>)
tensor(1.7456, grad_fn=<NllLossBackward0>)
tensor(0.9733, grad_fn=<NllLossBackward0>)
tensor(0.8278, grad_fn=<NllLossBackward0>)
tensor(0.9517, grad_fn=<NllLossBackward0>)
tensor(1.1182, grad_fn=<NllLossBackward0>)
tensor(1.1148, grad_fn=<NllLossBackward0>)
tensor(1.0801, grad_fn=<NllLossBackward0>)
tensor(1.3475, grad_fn=<NllLossBackward0>)
tensor(1.0203, grad_fn=<NllLossBackward0>)
tensor(1.3531, grad_fn=<NllLossBackward0>)
tensor(0.9557, grad_fn=<NllLossBackward0>)
tensor(0.9594, grad_fn=<NllLossBackward0>)
tensor(1.3931, grad_fn=<NllLossBackward0>)
tensor(1.0452, grad_fn=<NllLossBackward0>)
tensor(1.4220, grad_fn=<NllLossBackward0>)
